Season,Rk,Player,Pos,Age_nba,Tm_nba,G_nba,GS_nba,MP_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba,Tm_gleague,Age_gleague,G_gleague,GS_gleague,MP_gleague,FG_gleague,FGA_gleague,FG%_gleague,3P_gleague,3PA_gleague,3P%_gleague,2P_gleague,2PA_gleague,2P%_gleague,FT_gleague,FTA_gleague,FT%_gleague,ORB_gleague,DRB_gleague,TRB_gleague,AST_gleague,STL_gleague,BLK_gleague,TOV_gleague,PF_gleague,PTS_gleague
2016,429,Axel Toupane,SF,23,DEN,21,0,305,3,8.3,0.357,1.5,4.7,0.325,1.4,3.5,0.4,1.5,2,0.765,0.9,2.7,3.7,1.8,0.8,0.7,0.7,4.7,9,RAP,23,32,14,949,5.7,13.3,0.429,1.4,4.4,0.313,4.3,8.9,0.485,5,6.4,0.786,1.2,5.6,6.8,4.4,1.2,0.2,3.5,3.5,17.8
2016,456,C.J. Wilcox,SG,25,LAC,23,0,167,5.6,14.2,0.394,1.9,5,0.391,3.7,9.3,0.395,1.9,2.6,0.75,0.2,2.4,2.6,2.2,2.2,0.4,0.4,3.2,15.1,TOT,25,21,18,687,7.1,15.6,0.458,3.6,8.5,0.417,3.6,7,0.507,2.7,3.2,0.836,0.5,3.7,4.2,3.1,0.8,0.3,1.6,2.5,20.5
2016,466,Christian Wood,PF,20,PHI,17,0,145,5.5,13.2,0.415,1,2.7,0.364,4.5,10.4,0.429,3.2,5.2,0.619,3.2,6.2,9.4,0.7,1.2,1.7,0.5,2.7,15.1,DEL,20,32,22,922,8.1,15.3,0.529,0.9,3.4,0.253,7.2,11.9,0.609,4.6,6.5,0.707,3.4,8.4,11.8,0.8,1.1,1.4,1.8,3.3,21.6
2016,469,Delon Wright,PG,23,TOR,27,1,229,5.7,12.6,0.45,0.8,2,0.385,4.9,10.5,0.463,4.1,5.5,0.743,1.3,4.6,5.8,4.9,1.3,0.5,2.5,1.1,16.2,RAP,23,15,15,536,6.5,12.2,0.536,1.2,3.4,0.36,5.3,8.8,0.603,3.6,4.5,0.806,0.9,4.1,5,6.5,1.6,0.6,2.8,1.8,17.9
2016,471,James Young,SG,20,BOS,29,0,199,2,6.5,0.306,1.1,4.7,0.231,0.9,1.8,0.5,0.2,0.7,0.25,0.7,4,4.7,1.6,1.1,0.2,0.9,3.1,5.2,MAI,20,14,6,396,6.5,16,0.409,3.2,9.1,0.35,3.4,6.9,0.487,3.2,3.9,0.814,1.1,6.6,7.7,2.4,1.4,0.9,1.7,2.2,19.5
2017,2,Quincy Acy,PF,26,TOT,38,1,558,4.5,11,0.412,2.4,5.8,0.411,2.1,5.2,0.413,2.9,3.9,0.75,1.3,6.1,7.4,1.2,0.9,1,1.4,4.3,14.3,TEX,26,12,12,383,6.4,12.8,0.5,1.5,3.9,0.39,4.9,8.9,0.547,5.2,6.8,0.764,1.7,7.5,9.2,1.3,1.8,2.3,3.1,3.9,19.5
2017,25,Wade Baldwin,PG,20,MEM,33,1,405,3.2,10.2,0.313,0.3,2,0.136,2.9,8.3,0.355,2.8,3.3,0.838,1,3.1,4.1,5.4,1.6,0.6,3.5,3.6,9.4,IOW,20,33,22,931,5.9,13.6,0.433,0.9,2.9,0.311,5,10.8,0.466,3.8,5.1,0.748,0.9,4.6,5.5,6.8,1.7,0.5,4,3.4,16.5
2017,37,Malik Beasley,SG,20,DEN,22,1,165,7.2,15.9,0.452,2,6.1,0.321,5.2,9.8,0.533,1.7,2.2,0.8,1.1,2.6,3.7,2.4,1.5,0,1.7,2.2,18.1,SFL,20,16,12,497,7.8,17.1,0.458,2.2,5.9,0.37,5.6,11.2,0.503,4.1,4.6,0.889,1.7,7.1,8.8,3,1.2,0.1,2.5,2.2,21.9
2017,52,Joel Bolomboy,PF,23,UTA,12,0,53,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,SLS,23,24,22,826,6,11,0.544,1,2,0.468,5,8.9,0.561,4.5,6.4,0.705,4.9,9,13.9,1.9,0.7,1.3,2.3,2.6,17.4
2017,59,Anthony Brown,SF,24,TOT,11,0,159,4.1,11.3,0.36,1.6,6.1,0.259,2.5,5.2,0.478,0,0,NA,1.8,5.7,7.5,1.8,1.1,0.2,1.4,3.4,9.7,ERI,24,24,24,906,6.6,14.1,0.466,2.3,4.8,0.467,4.3,9.2,0.466,4,5,0.808,0.6,4.6,5.2,3,1,0.2,3,2.6,19.4
2017,89,Quinn Cook,PG,23,TOT,14,0,188,6.3,12.6,0.5,2.1,5,0.423,4.2,7.7,0.55,0.4,1,0.4,0.2,1.1,1.3,5,0.8,0,2.5,2.5,15.1,CAN,23,39,38,1502,8.4,17.7,0.476,2.3,6.3,0.372,6.1,11.5,0.532,5.1,5.7,0.895,0.5,3.3,3.8,6.2,1.1,0.1,3.4,2.3,24.3
2017,94,Jordan Crawford,SG,28,NOP,19,0,442,8.6,17.8,0.482,3,7.7,0.389,5.5,10,0.553,1.6,2.1,0.769,0.3,2.4,2.8,4.6,0.9,0.2,2,2.4,21.7,GRR,28,37,17,1103,10.3,21.8,0.473,3.2,8.9,0.355,7.1,12.9,0.554,4.6,5.3,0.87,0.5,3.5,4,4.2,1.4,0.2,2.3,2.2,28.4
2017,101,Deyonta Davis,C,20,MEM,36,0,238,3.6,7.1,0.511,0,0,NA,3.6,7.1,0.511,1.5,2.7,0.556,3,6.1,9.1,0.3,0.5,2.6,1.2,6.1,8.8,IOW,20,11,10,306,6.5,11.8,0.55,0,0,NA,6.5,11.8,0.55,0.7,1.1,0.667,3.9,7.3,11.2,0.6,1.2,3.1,1.1,3.3,13.6
2017,109,Cheick Diallo,PF,20,NOP,17,0,199,6.5,13.7,0.474,0,0,NA,6.5,13.7,0.474,2.7,3.8,0.714,4.2,9,13.2,0.7,0.7,1.3,1.3,3.1,15.7,TOT,20,26,21,724,8.3,16.6,0.502,0,0.2,0,8.3,16.4,0.508,2.7,3.6,0.753,2.3,8.7,10.9,0.9,0.7,3.1,2.1,4.5,19.3
2017,121,Henry Ellenson,PF,20,DET,19,2,146,5.7,15.8,0.359,2.5,8.6,0.286,3.2,7.2,0.448,1,2,0.5,2,8.1,10.1,1.7,0.2,0.2,3.5,1.5,14.8,GRR,20,21,21,740,6.2,14.8,0.416,1.8,5.6,0.328,4.3,9.2,0.471,4,5,0.806,1.6,7.5,9.1,1.4,0.6,0.9,1.9,2.7,18.2
2017,132,Kay Felder,PG,21,CLE,42,0,386,5.8,14.7,0.392,0.7,2.1,0.318,5.1,12.7,0.404,3.3,4.6,0.714,0.3,3.5,3.8,5.4,1.7,0.7,2.8,3.5,15.5,CAN,21,11,11,396,10.8,23.2,0.467,1.8,5,0.364,9,18.2,0.495,6.5,7.8,0.826,0.7,2.6,3.4,6,1.5,0.4,4.2,3,29.9
2017,135,Yogi Ferrell,PG,23,TOT,46,29,1197,4.8,11.8,0.406,2,5.3,0.386,2.8,6.6,0.422,2.2,2.7,0.831,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9,LIN,23,18,18,642,6.2,14.7,0.422,2.7,6.9,0.398,3.5,7.9,0.443,3.6,4,0.903,0.6,2.4,3,5.8,1.5,0.1,2.1,2.8,18.8
2017,137,Bryn Forbes,SG,23,SAS,36,0,285,4.5,12.5,0.364,2.1,6.7,0.321,2.4,5.8,0.413,0.6,0.8,0.833,0.3,2.7,2.9,2.9,0.1,0,1.4,2.5,11.9,AUS,23,19,19,674,8.4,16.8,0.502,3,6.5,0.459,5.4,10.3,0.528,3.9,4.5,0.869,0.4,3.2,3.5,2.7,1.3,0.1,2.5,2.3,23.8
2017,156,Archie Goodwin,SG,22,TOT,15,0,214,6.1,11.1,0.545,0.8,2.5,0.333,5.2,8.6,0.608,5.6,7.1,0.786,1.2,3.5,4.7,4,0.7,0.8,2.4,1.3,18.5,SWR,22,34,33,1112,6.1,14,0.438,0.7,3.2,0.235,5.4,10.8,0.497,5.8,8,0.724,1.7,4.1,5.8,2.5,1.3,0.3,2.6,2.3,18.7
2017,170,A.J. Hammons,C,24,DAL,22,0,163,3.8,9.3,0.405,1.1,2.2,0.5,2.7,7.1,0.375,2,4.4,0.45,1.8,6.2,8,0.9,0.2,2.9,2.2,4.6,10.6,TEX,24,15,14,385,7.5,14.6,0.513,0.5,1.9,0.25,7,12.7,0.551,1.5,1.9,0.8,2.7,7.8,10.5,1.6,0.5,2.8,2,6.5,16.9
